Artifact,OriginalVersion,Architecture,ReleaseUse,FileSize,SizeBasedVersion,SameAsOriginal,NoAssayDev,ReleaseBasedAndSame
ts-assaydev-assets,6.7.17,amd64,6.7.17_AssayDev,521673428,6.7.17,TRUE,6.7.17,TRUE
ts-assaydev-assets,6.7.17,amd64,6.7.17.1_AssayDev,521673428,6.7.17,TRUE,6.7.17.1,TRUE
ts-assaydev-coverageanalysis,6.7.15,amd64,6.7.15_AssayDev,12291720,6.7.15,TRUE,6.7.15,TRUE
ts-assaydev-coverageanalysis,6.7.15.1,amd64,6.7.15.1_AssayDev,12291200,6.7.15.1,TRUE,6.7.15.1,TRUE
ts-assaydev-coverageanalysis,6.7.15.1,amd64,6.7.15.2_AssayDev,12291200,6.7.15.1,TRUE,6.7.15.2,TRUE
ts-assaydev-coverageanalysis,6.7.16,amd64,6.7.16_AssayDev,12290676,6.7.16,TRUE,6.7.16,TRUE
ts-assaydev-coverageanalysis,6.7.17,amd64,6.7.17_AssayDev,12291912,6.7.17,TRUE,6.7.17,TRUE
ts-assaydev-coverageanalysis,6.7.17,amd64,6.7.17.1_AssayDev,12291912,6.7.17,TRUE,6.7.17.1,TRUE
ts-assaydev-crawler,6.7.15,amd64,6.7.15_AssayDev,33907800,6.7.15,TRUE,6.7.15,TRUE
ts-assaydev-crawler,6.7.15.1,amd64,6.7.15.1_AssayDev,33907424,6.7.15.1,TRUE,6.7.15.1,TRUE
ts-assaydev-crawler,6.7.15.1,amd64,6.7.15.2_AssayDev,33907424,6.7.15.1,TRUE,6.7.15.2,TRUE
ts-assaydev-crawler,6.7.16,amd64,6.7.16_AssayDev,33906424,6.7.16,TRUE,6.7.16,TRUE
ts-assaydev-crawler,6.7.17,amd64,6.7.17_AssayDev,33907832,6.7.17,TRUE,6.7.17,TRUE
ts-assaydev-crawler,6.7.17,amd64,6.7.17.1_AssayDev,33907832,6.7.17,TRUE,6.7.17.1,TRUE
ts-assaydev-customersupportarchive,6.7.15,amd64,6.7.15_AssayDev,6485936,6.7.15,TRUE,6.7.15,TRUE
ts-assaydev-customersupportarchive,6.7.15.1,amd64,6.7.15.1_AssayDev,6484692,6.7.15.1,TRUE,6.7.15.1,TRUE
ts-assaydev-customersupportarchive,6.7.15.1,amd64,6.7.15.2_AssayDev,6484692,6.7.15.1,TRUE,6.7.15.2,TRUE
ts-assaydev-customersupportarchive,6.7.16,amd64,6.7.16_AssayDev,6486896,6.7.16,TRUE,6.7.16,TRUE
ts-assaydev-customersupportarchive,6.7.17,amd64,6.7.17_AssayDev,6485848,6.7.17,TRUE,6.7.17,TRUE
ts-assaydev-customersupportarchive,6.7.17,amd64,6.7.17.1_AssayDev,6485848,6.7.17,TRUE,6.7.17.1,TRUE
